UserID,TransactionID,Input,Output
1001,TXN0001,"What is my GPA?","Your current GPA is 3.45."
1001,TXN0018,"My grades","Your grades: CS101 A, MATH201 B+, ENGL102 A-. GPA: 3.45. (Computer Science, Junior)"
1002,TXN0002,"Register me for CS101.","You have been successfully registered for CS101."
1002,TXN0019,"My grades","Your grades: DS201 A-, STAT101 B+, ENGL102 A. GPA: 3.52. (Data Science, Sophomore)"
1003,TXN0003,"When is my next exam?","Your next exam is on March 5th at 10:00 AM."
1003,TXN0020,"My grades","Your grades: IT301 A, CS201 B, MATH101 A-. GPA: 3.38. (Information Technology, Senior)"
1004,TXN0004,"Submit assignment for Biology 201.","Your assignment has been submitted successfully."
1004,TXN0021,"My grades","Your grades: BIO201 A, CHEM101 B+, MATH101 A. GPA: 3.62. (Biology, Freshman)"
1005,TXN0005,"Who is my advisor?","Your assigned advisor is Aisha Patel."
1005,TXN0022,"My grades","Your grades: ENGR301 B+, MATH201 A-, PHYS201 B. GPA: 3.28. (Engineering, Senior)"
1006,TXN0006,"Show me my course schedule.","Your schedule: CS101 Mon/Wed 9-10:30 AM, Math201 Tue/Thu 11-12:30 PM."
1006,TXN0023,"My grades","Your grades: MATH101 A, CS101 A-, ENGL101 B+. GPA: 3.42. (Mathematics, Freshman)"
1007,TXN0007,"Change major to Data Science.","Your major has been updated to Data Science."
1007,TXN0024,"My grades","Your grades: ECON301 A, MATH201 B+, BUS201 A-. GPA: 3.48. (Economics, Junior)"
1008,TXN0008,"Request transcript.","Your transcript request has been submitted."
1008,TXN0025,"My grades","Your grades: PSY301 A, PSY201 A-, STAT101 B+. GPA: 3.55. (Psychology, Senior)"
2001,TXN0009,"Enter grades for CS101.","Grades for CS101 have been successfully recorded."
2001,TXN0026,"My classes","You are teaching: CS101 (Intro to Programming), CS201 (Data Structures). Office hours: Mon/Wed 2-4 PM."
2001,TXN0027,"Show classes","Your classes: CS101 (Intro to Programming), CS201 (Data Structures). Office hours: Mon/Wed 2-4 PM."
2001,TXN0028,"How many students?","You have 24 students across your courses (CS101: 12, CS201: 12)."
2002,TXN0010,"Create new assignment for Math201.","Assignment created and visible to students."
2002,TXN0029,"How many students?","You have 18 students in Math201."
2002,TXN0030,"Show classes","You coordinate: Math201. No direct teaching this term."
2003,TXN0011,"Mark attendance for IT301.","Attendance has been successfully updated."
2003,TXN0031,"How many students?","You have 22 students in IT301."
2003,TXN0032,"My classes","You are teaching: IT301. Office hours: Tue/Thu 1-2 PM."
2004,TXN0012,"Message all students in CS101.","Your message has been sent to all enrolled students."
2004,TXN0033,"How many students?","You have 12 students in CS101."
2004,TXN0034,"Show classes","You are teaching: CS101 (Business Writing). Office hours: Mon 3-4 PM."
3001,TXN0013,"Verify enrollment for John Doe.","Enrollment for John Doe is verified."
3002,TXN0014,"Process application for Jane Smith.","Application has been approved and updated."
3003,TXN0015,"Update payroll for staff member.","Payroll record has been updated successfully."
3004,TXN0016,"Generate transcript for Michael Brown.","Transcript has been generated and sent."
3005,TXN0017,"Remove hold from student account.","Hold removed successfully."
